name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
LARGE GREAT STUDIO HELLS KITCHEN,Manhattan,Hell's Kitchen,40.76663,-73.9895,Entire home/apt,150,1,3,0.05,1,0
Charming Studio in Carroll Gardens,Brooklyn,Carroll Gardens,40.68244,-73.99539,Entire home/apt,100,3,15,0.27,1,0
large private bedroom in shared ap,Brooklyn,Fort Greene,40.68508,-73.97393,Private room,69,2,12,0.18,1,6
"Epic West Village, NYC rental",Manhattan,Chelsea,40.73819,-73.99835,Entire home/apt,175,27,2,0.06,1,310
Modern Luxury Private Room Steps from subway,Manhattan,East Harlem,40.80551,-73.93654,Private room,75,2,3,1.17,1,332
Chic Brand New Maisonette 2BR in Greenpoint,Brooklyn,Greenpoint,40.73291,-73.95989,Entire home/apt,139,3,36,4.48,1,58
Private Room,Manhattan,East Harlem,40.80386,-73.93618,Private room,80,1,47,3.41,3,178
Beautiful and comfy Private bed/bath in Manhattan!,Manhattan,East Harlem,40.80612,-73.93627,Private room,120,1,20,6.0,3,357
Cosy private room in Manhattan!!!,Manhattan,East Harlem,40.80541,-73.93658,Private room,80,1,54,3.74,3,180
Midtown East 2 bedroom apartment,Manhattan,Midtown,40.75376,-73.96669,Entire home/apt,350,3,10,1.86,1,207
Adrian's Place: Cozy 1br mins from JFK w/ 55' TV,Queens,St. Albans,40.69654,-73.74893,Private room,65,2,52,1.93,1,78
Stylish One Bedroom Apartment!!,Brooklyn,Williamsburg,40.7192,-73.94805,Entire home/apt,650,3,4,3.64,1,359
Gorgeous Apartment in Literally Perfect Location,Manhattan,East Village,40.73352,-73.98777,Private room,103,1,39,2.0,1,0
Cozy 4 BR Brooklyn townhouse in Clinton Hill,Brooklyn,Clinton Hill,40.68391,-73.96201,Entire home/apt,575,3,12,0.15,1,0
2BED in Williamsburg With Private Patio!,Brooklyn,Williamsburg,40.70709,-73.9506,Entire home/apt,250,3,2,0.31,1,10
Colorful Bed Stuy studio apartment,Brooklyn,Bedford-Stuyvesant,40.69259,-73.92881,Entire home/apt,140,3,2,0.1,1,0
Sun-drenched apartment w/ backyard,Brooklyn,Bushwick,40.69903,-73.91722,Private room,40,4,1,0.03,1,0
"Beautiful, Bright and Modern Space w/ a Fresh Feel",Brooklyn,Bushwick,40.68365,-73.91069,Entire home/apt,129,2,43,1.2,1,80
Spacious Room with natural light in Forest Hill,Queens,Forest Hills,40.72223,-73.84647,Private room,37,1,1,0.16,1,249
Private Room in 2BR East Village Apartment,Manhattan,East Village,40.72373,-73.97534,Private room,100,1,17,3.21,1,73
Sunny Spacious Crown Heights Studio,Brooklyn,Crown Heights,40.67807,-73.95913,Entire home/apt,65,4,1,0.03,1,0
"True Skyline View, minutes to Manhattan",Brooklyn,Greenpoint,40.72509,-73.95418,Private room,92,6,48,2.31,1,43
Hi Traveler.. welcome,Bronx,Allerton,40.8687,-73.8524,Private room,35,7,2,0.17,1,90
Spacious Victorian home,Brooklyn,Flatbush,40.63667,-73.96705,Entire home/apt,250,4,3,1.07,1,35
East Village apt w/ ESB views,Manhattan,East Village,40.72305,-73.98834,Private room,150,2,10,0.31,1,0
"Cozy, Quiet Convenient in Prime Soho",Manhattan,Nolita,40.72427,-73.99387,Entire home/apt,200,1,13,0.56,1,0
Room in Perfect Bushwick Location,Brooklyn,Bushwick,40.70258,-73.92614,Private room,90,3,2,0.46,1,0
Luxury Waterfront Condo with views (and pool!),Brooklyn,Williamsburg,40.71784,-73.96363,Private room,90,1,18,1.62,2,9
Bedroom in Luxury Waterfront Apt with Views & Pool,Brooklyn,Williamsburg,40.71739,-73.96244,Private room,98,1,33,3.24,2,11
Cute Bedroom in Clinton Hill,Brooklyn,Bedford-Stuyvesant,40.69017,-73.95493,Private room,50,28,1,0.03,2,343
Clean & Sunny Clinton Hill/Bed room,Brooklyn,Bedford-Stuyvesant,40.68919,-73.95399,Private room,50,30,1,0.03,2,253
Luxury Apartment Downtown Brooklyn,Brooklyn,Downtown Brooklyn,40.69731,-73.98228,Entire home/apt,120,30,9,0.22,1,0
"Luxury Furnished 1 bedro, Bay Ridge",Brooklyn,Fort Hamilton,40.61927,-74.0307,Entire home/apt,100,30,7,0.08,1,241
One Fabulous Private Room,Manhattan,Inwood,40.85888,-73.92886,Private room,71,4,229,2.45,1,26
"Cute, Comfy Room in the Heart of Bedstuy",Brooklyn,Bedford-Stuyvesant,40.68593,-73.94628,Private room,55,2,3,0.29,1,0
10 Minutes away from JFK Airport,Brooklyn,Canarsie,40.63716,-73.88654,Entire home/apt,85,2,96,3.7,1,340
Cozy PRIVATE Studio Apartment UWS and Jazz Tour.,Manhattan,Upper West Side,40.7982,-73.96394,Entire home/apt,100,1,129,1.76,1,281
East Village Bedroom for Rent,Manhattan,East Village,40.72204,-73.97924,Private room,100,3,64,2.58,1,224
Garden room in a private house,Brooklyn,East Flatbush,40.65185,-73.94555,Private room,45,45,5,0.38,2,155
Quiet solo traveler room with a backyard view,Brooklyn,East Flatbush,40.65261,-73.94486,Private room,38,60,9,0.45,2,199
First Floor Studio on the Upper East Side!,Manhattan,Upper East Side,40.78007,-73.94803,Entire home/apt,125,3,30,1.08,1,4
Beautiful Home by Central Park,Manhattan,Hell's Kitchen,40.7678,-73.9868,Entire home/apt,140,2,41,0.73,1,0
"Bright, beautiful room, just block to A, C train",Brooklyn,Bedford-Stuyvesant,40.67704,-73.91484,Private room,60,1,13,0.46,1,0
Central Bedford Avenue Apartment,Brooklyn,Williamsburg,40.71973,-73.95582,Entire home/apt,185,3,14,0.15,1,0
Gorgeous sunny studio & perfect beautiful NYC area,Brooklyn,Bedford-Stuyvesant,40.6847,-73.93262,Entire home/apt,79,2,4,0.09,1,0
Large apartment in Upper East with doorman!,Manhattan,Upper East Side,40.78471,-73.95054,Private room,89,4,7,0.26,1,188
Midwood Street Limestone,Brooklyn,Prospect-Lefferts Gardens,40.6602,-73.96017,Entire home/apt,329,2,15,0.98,2,0
Spacious & Private Apt steps to Prospect Park,Brooklyn,Prospect-Lefferts Gardens,40.65891,-73.95887,Entire home/apt,150,2,68,4.27,2,32
Brooklyn's Finest - LL,Brooklyn,Williamsburg,40.71477,-73.96122,Entire home/apt,130,2,25,3.99,3,261
Brooklyn's Finest - ML,Brooklyn,Williamsburg,40.71602,-73.96248,Entire home/apt,130,2,67,1.57,3,252
Treetop Chic - Prime Williamsburg Boutique Home,Brooklyn,Williamsburg,40.7135,-73.95468,Entire home/apt,225,10,5,0.47,1,150
"1 Bed Williamsburg Apt, Amazing Loc",Brooklyn,Williamsburg,40.7189,-73.95725,Entire home/apt,175,3,3,0.05,1,0
Big Private Sunny Room in UWS Duplex w/ Terrace,Manhattan,Upper West Side,40.79675,-73.96916,Private room,100,3,11,0.16,1,0
Comfortable!  2 Bed Rm Apt. in House~20 min to NYC,Bronx,Clason Point,40.81338,-73.85821,Entire home/apt,75,2,5,5.0,1,86
SERETSE'S  INN,Bronx,Melrose,40.82433,-73.91619,Entire home/apt,80,5,12,2.26,1,91
Private Room in Industrial Apartment w/ rooftop!,Brooklyn,Bedford-Stuyvesant,40.68903,-73.93192,Private room,62,1,8,0.39,1,0
Brooklyn Bushwick,Brooklyn,Bushwick,40.69718,-73.92157,Private room,45,2,72,2.54,1,51
Bohemian Bushwick Loft,Brooklyn,Bushwick,40.70021,-73.94081,Private room,49,1,2,0.05,1,0
Sunny Apartment in Clinton Hill,Brooklyn,Bedford-Stuyvesant,40.69077,-73.95745,Entire home/apt,120,4,26,0.53,1,10
Bohemian Room in NYC at Great Location,Manhattan,Lower East Side,40.71206,-73.99055,Private room,70,1,117,4.74,4,249
Ocean Room at Great Location,Manhattan,Chinatown,40.71364,-73.99153,Private room,50,1,42,1.91,4,257
Travel Themed Room at Great Location,Manhattan,Chinatown,40.71391,-73.99162,Private room,60,1,101,4.13,4,257
Coolest Apartment at Great Location!!,Manhattan,Chinatown,40.71366,-73.99153,Entire home/apt,320,1,2,0.1,4,249
Elegant Private Room in Midtown West,Manhattan,Hell's Kitchen,40.75832,-73.99179,Private room,129,1,108,4.49,3,116
Trendy Private Room in Midtown West,Manhattan,Hell's Kitchen,40.76002,-73.98958,Private room,129,1,97,4.03,3,132
Exclusive Modern Private Room in Hells Kitchen,Manhattan,Hell's Kitchen,40.76015,-73.99017,Private room,129,1,111,4.61,3,111
Live like a real New Yorker!,Manhattan,Lower East Side,40.7191,-73.98866,Entire home/apt,80,3,67,0.92,1,85
Private Room in Morningside Heights,Manhattan,Morningside Heights,40.80442,-73.96362,Private room,90,2,8,0.22,1,0
Entire Floor of Brooklyn Brownstone,Brooklyn,Bushwick,40.68585,-73.90686,Private room,75,2,12,0.24,1,0
Newly Renovated Brownstone 1BR with Private Deck,Brooklyn,Bedford-Stuyvesant,40.68409,-73.93827,Entire home/apt,69,4,7,0.37,1,5
Beautiful Manhattan TOWNHOUSE APARTMENT w Deck,Manhattan,Washington Heights,40.83515,-73.94178,Entire home/apt,128,3,9,4.66,1,236
Comfy and Quiet Private Room in Brooklyn,Brooklyn,Bushwick,40.69432,-73.92035,Private room,199,4,2,0.07,1,179
"Sunny, spacious room in heart of BK",Brooklyn,Boerum Hill,40.68485,-73.9819,Private room,65,3,2,0.05,1,0
Sunny apt in dynamic Bushwick,Brooklyn,Bushwick,40.70073,-73.91714,Private room,35,1,6,0.37,1,0
Beautiful room on Brownstone in Bushwick,Brooklyn,Bushwick,40.69283,-73.90961,Private room,41,2,42,1.16,1,0
Packaged for one plus groups (ENSUITE KING ROYAL),Brooklyn,East Flatbush,40.64695,-73.93121,Private room,100,2,3,1.14,4,365
Packaged for one and groups (QUEEN B),Brooklyn,East Flatbush,40.64683,-73.93003,Private room,90,2,6,2.25,4,360
Packaged for one plus group (QUEEN),Brooklyn,East Flatbush,40.6472,-73.92951,Private room,100,2,4,1.85,4,360
Packaged for one plus groups (ENSUITE KING),Brooklyn,East Flatbush,40.64659,-73.93058,Private room,110,2,6,2.54,4,354
"Madison Ave BR Steps from Central Park, east 60s",Manhattan,Upper East Side,40.76892,-73.96906,Private room,115,1,56,3.03,1,325
Private Bedroom with Private Entrance in Brooklyn.,Brooklyn,Bushwick,40.70247,-73.91793,Private room,60,4,16,0.83,1,42
Beautiful Large Private Apt in Amazing Neighbrhood,Queens,Ditmars Steinway,40.77103,-73.91409,Entire home/apt,175,2,6,0.21,1,176
Upper West Side Getaway In the City Center,Manhattan,Morningside Heights,40.80279,-73.96325,Private room,60,2,58,5.67,1,110
Private bedroom&bathroom in the heart of Manhattan,Manhattan,Hell's Kitchen,40.76113,-73.98918,Private room,110,3,213,2.79,1,281
Spacious private room close to lots of cool spots,Brooklyn,Williamsburg,40.71008,-73.96175,Private room,70,5,3,0.2,1,0
Perfect Weekender in the East Village...,Manhattan,East Village,40.72372,-73.97984,Entire home/apt,150,2,85,3.33,1,194
法拉盛中心地段单身客房,Queens,Flushing,40.76377,-73.82692,Private room,50,1,6,5.45,1,74
Trendy East Village 1 Bedroom - NYC,Manhattan,East Village,40.72845,-73.98598,Entire home/apt,200,4,26,1.34,1,0
king size Room available now in BayRidge,Brooklyn,Bay Ridge,40.62569,-74.02654,Private room,89,1,3,0.14,2,269
Sunlit Gem in Happening Greenpoint,Brooklyn,Greenpoint,40.72777,-73.95231,Entire home/apt,75,2,6,0.14,1,0
"Cozy, Convenient 10 min from Manhattan !",Queens,Woodside,40.75608,-73.90535,Private room,65,3,23,1.49,1,354
"Harlem/Morningside, charm and quiet",Manhattan,Harlem,40.80922,-73.95306,Private room,95,1,4,0.11,1,270
Prospect Heights garden apartment,Brooklyn,Prospect Heights,40.67886,-73.96802,Entire home/apt,164,1,2,0.04,1,0
$79.00 per night in the safest neighborhood in NYC,Bronx,Pelham Gardens,40.86143,-73.84556,Entire home/apt,79,2,2,2.0,2,169
"Great Apartment only $79 per night 
Great area",Bronx,Pelham Gardens,40.86143,-73.84573,Entire home/apt,79,2,1,1.0,2,354
Entire 1 Bedroom in Gramercy,Manhattan,Kips Bay,40.73903,-73.98267,Entire home/apt,200,2,3,0.29,1,0
La Maison She She (Brownstone Private Apt.),Brooklyn,Bedford-Stuyvesant,40.68445,-73.92142,Entire home/apt,99,2,43,1.16,1,0
A Little Palace in Brooklyn for Shoots and Events,Brooklyn,Bushwick,40.70234,-73.92424,Entire home/apt,800,1,34,0.45,1,365
Room in Upper West Side Manhattan,Manhattan,Upper West Side,40.79452,-73.97065,Private room,75,1,12,0.27,1,0
Brand new renovated retreat 5 min from JFK!,Queens,Springfield Gardens,40.66648,-73.7526,Private room,65,1,28,7.85,2,340
Brand new private apartment 5 minutes from JFK!,Queens,Springfield Gardens,40.66821,-73.75263,Entire home/apt,50,1,16,6.0,2,304
Large Private Bedroom with a High-rise View in NYC,Manhattan,Flatiron District,40.73943,-73.98532,Private room,65,1,14,2.98,3,0
Modern bedroom with view in a high rise building,Manhattan,Gramercy,40.73772,-73.98758,Private room,65,1,11,1.79,3,0
Downtown Modern 2 bedroom with Views!,Manhattan,Gramercy,40.73782,-73.98547,Entire home/apt,218,1,6,1.49,3,0
"Bright, private room in the HEART of Williamburg",Brooklyn,Williamsburg,40.71321,-73.95073,Private room,75,25,3,0.16,2,161
Williamsburg Apt: Near Train & Close to Waterfront,Brooklyn,Williamsburg,40.71389,-73.95103,Private room,55,7,19,0.85,2,151
The Queens Bungalow,Queens,Glendale,40.69643,-73.89362,Entire home/apt,65,3,19,0.7,1,104
Room in heart of the West Village!,Manhattan,West Village,40.73254,-74.00467,Private room,100,2,48,0.9,1,78
Beautiful red-brick bedroom in prime East Village,Manhattan,East Village,40.72507,-73.9827,Private room,100,3,45,3.53,3,6
EPIC HOME. PRIVATE EVERYTHING. (East Village),Manhattan,East Village,40.72535,-73.98244,Private room,121,3,51,2.42,3,0
"Nice private bedroom, prime East Village",Manhattan,East Village,40.72419,-73.98294,Private room,95,3,36,1.83,3,9
Serenity Studio in East Harlem,Manhattan,East Harlem,40.7857,-73.94578,Entire home/apt,99,1,20,4.23,1,81
Room in lovely LES apartment,Manhattan,Lower East Side,40.72168,-73.99183,Private room,55,7,1,0.02,1,0
Beautiful Room in a Classic Harlem Neighborhood!,Manhattan,Harlem,40.8255,-73.94119,Private room,50,3,2,0.09,1,0
Bright 1 Bedroom Apt Near Attractions and Transit,Bronx,Bronxdale,40.85401,-73.86594,Entire home/apt,76,7,24,0.71,1,0
Sunny and large bedroom in Williamsburg Apartment,Brooklyn,Williamsburg,40.71451,-73.93959,Private room,120,1,7,0.23,2,89
Beautiful Sun Drenched Williamsburg Apartment,Brooklyn,Williamsburg,40.71615,-73.94171,Entire home/apt,150,2,3,0.48,2,330
2BR Sunlight & Secret Garden Apartment,Brooklyn,Crown Heights,40.67838,-73.95549,Entire home/apt,145,4,18,0.25,1,0
"Lovely, private studio apartment near Manhattan.",Staten Island,St. George,40.64332,-74.08283,Entire home/apt,120,2,116,4.0,1,191
Luxury Williamsburg with Panoramic City Views,Brooklyn,Williamsburg,40.7191,-73.9617,Entire home/apt,275,5,3,0.15,1,0
Centrally located Midtown 1BR,Manhattan,Hell's Kitchen,40.76355,-73.99391,Entire home/apt,150,1,52,1.26,1,7
1 Guest Room in New Condo,Brooklyn,Brooklyn Heights,40.70117,-73.99147,Private room,200,1,3,0.05,1,0
Bushwick Retreat (for dog lovers only),Brooklyn,Bushwick,40.69098,-73.92128,Private room,85,1,14,1.38,1,81
A GEM IN NOHO,Manhattan,East Village,40.72288,-73.98344,Entire home/apt,350,3,2,0.38,2,342
BEST LOCATION 12ST BY UNION SQUARE,Manhattan,East Village,40.73235,-73.98646,Entire home/apt,499,30,11,0.52,2,332
3 B   GREAT 1BR APT IN NEW YORK CITY,Manhattan,Midtown,40.74197,-73.98373,Entire home/apt,209,30,14,0.28,4,0
1A GREAT  APT NEW YORK CITY !!!,Manhattan,Midtown,40.74439,-73.98329,Entire home/apt,275,30,39,0.72,4,365
2  BEDROOM GREAT  APT ON  LEXINGTON  AVE MUST SEE,Manhattan,Midtown,40.74294,-73.98499,Entire home/apt,200,30,9,0.17,4,342
VERY LARGE STUDIO APT BEST LOCATION  IN NYC,Manhattan,Midtown,40.74197,-73.98328,Entire home/apt,199,30,1,0.08,4,177
Most wonderful 2 BR Apartment in Lower Manhattan,Manhattan,East Village,40.72128,-73.97899,Entire home/apt,200,14,2,1.5,1,233
Harlem Gem,Manhattan,Harlem,40.81381,-73.94549,Entire home/apt,125,1,59,5.55,1,262
"Clean, beautifully modernized, vintage apartment",Manhattan,Lower East Side,40.72194,-73.98941,Shared room,68,1,5,0.18,1,0
Perfect 1BD in Gramercy/Union Sq,Manhattan,Gramercy,40.73348,-73.98562,Entire home/apt,199,2,3,0.07,1,19
Bright Brooklyn Apartment,Brooklyn,Bedford-Stuyvesant,40.69108,-73.94492,Entire home/apt,80,5,1,0.05,1,0
"Soulful, Artistic Space in a Brooklyn Townhouse",Brooklyn,Park Slope,40.67687,-73.98171,Entire home/apt,140,4,9,2.33,1,227
A cozy place to set your mind free.,Brooklyn,East New York,40.67729,-73.87996,Entire home/apt,70,5,37,1.48,1,263
PAINTERS PARADISE / GREENPOINT,Brooklyn,Greenpoint,40.73425,-73.95506,Entire home/apt,160,5,152,2.1,1,281
Luxurious Brooklyn Studio,Brooklyn,Fort Greene,40.6873,-73.97906,Entire home/apt,125,7,3,0.28,1,33
Studio Apartment Prospect Heights,Brooklyn,Crown Heights,40.6758,-73.96251,Entire home/apt,95,3,10,0.3,1,188
Peaceful Park Slope Condo with Fast Wifi! #10253,Brooklyn,Park Slope,40.67858,-73.9812,Entire home/apt,300,30,51,2.33,1,75
Sunny Spacious 2BR Apt in Heart of Bushwick,Brooklyn,Bushwick,40.70146,-73.92841,Entire home/apt,145,30,7,1.46,4,218
Spacious 2BR Apt Heart of Bushwick + Backyard,Brooklyn,Bushwick,40.70016,-73.93042,Entire home/apt,145,30,6,1.64,4,224
"Own Room & Bath, Sunny Town House, 18"" to Wall St",Brooklyn,Bedford-Stuyvesant,40.68106,-73.9292,Private room,97,3,29,1.57,1,118
3 Bed + 2 Bath Trendy Upper East Apartment,Manhattan,Upper East Side,40.76398,-73.96581,Entire home/apt,479,1,52,3.24,1,3
纽约法拉盛民宿客栈,Queens,Flushing,40.7681,-73.82265,Private room,50,2,1,0.06,1,0
Shared renovated cozy room in heart of the city.,Manhattan,Hell's Kitchen,40.76481,-73.98724,Shared room,80,1,19,2.82,5,52
Overnight Bed by Central Park New York City,Manhattan,Hell's Kitchen,40.7656,-73.98822,Shared room,80,1,18,2.67,5,48
"Beautiful Cozy room in Hell’s Kitchen,Times Square",Manhattan,Hell's Kitchen,40.76565,-73.98872,Private room,149,1,14,3.78,5,0
"Shared apt by Theater District, Broadway",Manhattan,Hell's Kitchen,40.76546,-73.98712,Shared room,80,1,24,3.58,5,46
"Beautiful shared place by Times Square, Midtown.",Manhattan,Hell's Kitchen,40.76333,-73.98806,Shared room,80,1,39,5.82,5,22
Artist Private Studio,Manhattan,East Harlem,40.79014,-73.94698,Entire home/apt,120,3,33,0.86,1,0
Cheeky Private Bedroom in Bed-Stuy,Brooklyn,Bedford-Stuyvesant,40.67845,-73.90852,Private room,50,7,6,1.41,1,0
UPTOWN FABULOUS,Manhattan,Washington Heights,40.85612,-73.93024,Private room,45,1,50,1.32,1,90
Private Room in Brooklyn Loft Oasis,Brooklyn,Greenpoint,40.73344,-73.95851,Private room,100,2,3,0.53,1,100
Spacious Attic Room,Brooklyn,Midwood,40.61609,-73.95893,Private room,35,1,2,0.11,1,0
Chelsea Newly Renovated Private Bedroom,Manhattan,Chelsea,40.74772,-74.002,Private room,110,2,2,0.1,1,0
Chic 2 bedroom just a train ride away from NYC,Queens,Ridgewood,40.69913,-73.90831,Entire home/apt,200,2,1,1.0,1,0
曼岛中城 切尔西区CHESEA  21街 闹市中静怡如家的空间,Manhattan,Chelsea,40.74278,-73.99765,Private room,80,1,3,2.5,1,0
Lavish 1BR in FiDi + city views,Manhattan,Financial District,40.70574,-74.00809,Entire home/apt,239,30,2,0.09,121,186
Lux Studio Apt in Midtown NYC near Central park!,Manhattan,Hell's Kitchen,40.76227,-73.99807,Entire home/apt,199,30,1,0.03,121,365
Luxury 1-Bedroom Apartment in Midtown Gym+Pool,Manhattan,Theater District,40.76105,-73.98638,Entire home/apt,239,30,1,0.07,121,363
Upscale 1 Bedroom Hell's Kitchen Apartment,Manhattan,Hell's Kitchen,40.76045,-73.9981,Entire home/apt,239,30,1,0.04,121,365
Gorgeous 1 Bedroom NYC + W/D in the Unit,Manhattan,Hell's Kitchen,40.76077,-73.99822,Entire home/apt,239,30,1,0.04,121,365
Lux 1-BR Apt near Port Authority/Times Square,Manhattan,Hell's Kitchen,40.76196,-73.99803,Entire home/apt,239,30,1,0.04,121,365
Lux 1-BR Apt In Midtown West-prime location!,Manhattan,Hell's Kitchen,40.76112,-73.99887,Entire home/apt,239,30,2,0.07,121,365
"Luxurious 1BR Apt near Times Square, river views!",Manhattan,Hell's Kitchen,40.76213,-73.99972,Entire home/apt,239,30,1,0.03,121,365
Downtown NYC Studio Apt. near World Trade Center,Manhattan,Financial District,40.70782,-74.01525,Entire home/apt,189,30,1,1.0,121,364
Sleek 1 bedroom apartment near Rockefeller Center!,Manhattan,Hell's Kitchen,40.76222,-73.99889,Entire home/apt,239,30,2,0.1,121,365
**Stunning 1 bedroom Apt. + Amazing amenities,Manhattan,Hell's Kitchen,40.76258,-73.99771,Entire home/apt,239,30,1,0.08,121,179
-Luxury NYC 1 Bedroom nearby Theater District!,Manhattan,Hell's Kitchen,40.76216,-73.99775,Entire home/apt,235,30,1,0.04,121,365
Luxury Studio Apartment in NYC'S Chelsea District,Manhattan,Chelsea,40.7449,-73.99167,Entire home/apt,109,30,1,0.03,121,184
Gorgeous 2 Bedroom New York City Apartment!,Manhattan,Hell's Kitchen,40.76062,-73.99741,Entire home/apt,479,30,1,0.24,121,185
Luxury Studio Apt Overlooking the Hudson River,Manhattan,Hell's Kitchen,40.76021,-73.99969,Entire home/apt,199,30,2,0.08,121,365
Amazing 2 BR NYC apt. with up-to-date amenities!,Manhattan,Midtown,40.76657,-73.98201,Entire home/apt,369,30,1,0.12,121,345
NYC Lavish Studio Apartment Steps from SoHo!,Manhattan,Financial District,40.70862,-74.01408,Entire home/apt,169,30,3,0.09,121,364
Delightful 1BR close to upscale shopping in NYC,Manhattan,Hell's Kitchen,40.76666,-73.98306,Entire home/apt,239,30,1,0.06,121,352
Views of the Hudson NYC Apt.!!,Manhattan,Hell's Kitchen,40.76072,-73.99818,Entire home/apt,239,30,2,0.07,121,365
NYC Chelsea Luxury 1BR Apt,Manhattan,Chelsea,40.74465,-73.99253,Entire home/apt,129,30,3,0.07,121,161
Luxury 1BR in NYC + Great Amenities & Rooftop Ter.,Manhattan,Chelsea,40.75121,-73.99812,Entire home/apt,169,30,1,0.05,121,282
Luxury Studio Apt in NYC Financial District!,Manhattan,Financial District,40.70776,-74.01514,Entire home/apt,169,30,2,0.05,121,364
Lavish Studio with Great Amenities in FiDi,Manhattan,Financial District,40.7055,-74.00812,Entire home/apt,189,30,4,0.11,121,365
Cozy Studio on the Upper East Side!,Manhattan,Upper East Side,40.76138,-73.9598,Entire home/apt,115,30,1,0.05,121,336
"Spectacular, high-end 2BR apt close to Bryant Park",Manhattan,Hell's Kitchen,40.76704,-73.98355,Entire home/apt,369,30,3,0.07,121,345
Upscale and spacious 2bed/2bath Midtown West apt.,Manhattan,Midtown,40.76665,-73.98281,Entire home/apt,190,30,1,0.04,121,286
**Luxury 1 Bedroom Upper East Side NYC Apt,Manhattan,Upper East Side,40.76257,-73.95915,Entire home/apt,249,30,1,0.06,121,273
Lux Furnished 2BR steps from Central Park!,Manhattan,Hell's Kitchen,40.76564,-73.98367,Entire home/apt,369,30,1,0.03,121,345
Lux Studio Apt in Downtown NYC - Gym included!,Manhattan,Financial District,40.70749,-74.01413,Entire home/apt,169,30,2,0.06,121,364
Luxury 1-Bedroom Midtown West NYC Apartment,Manhattan,Midtown,40.76573,-73.98295,Entire home/apt,239,30,1,0.05,121,352
